model_id,architecture,graph_id,role_group,epsilon,n_pairs,design_rank,raw_mean_scg,normalized_mean_scg,median_frequency_residual,median_topology_residual,raw_intercept,raw_frequency_slope,raw_topology_slope,raw_adjusted_at_median_residual,raw_r2,normalized_intercept,normalized_frequency_slope,normalized_topology_slope,normalized_adjusted_at_median_residual,normalized_r2
deepsets_ae_seed47,DeepSets-AE,delaunay,forward,0.25,1318,3,7.98240959735e-07,3.19296383894e-06,0.341527115453,0.275581572239,2.35805599866e-06,-4.30505996393e-06,-2.07437891638e-08,8.82044681298e-07,0.00107157064234,9.43222399465e-06,-1.72202398557e-05,-8.29751566551e-08,3.52817872519e-06,0.00107157064234
deepsets_ae_seed47,DeepSets-AE,delaunay,forward,0.5,1154,3,2.56935273341e-06,5.13870546681e-06,0.346914886081,0.278542722351,3.60551458099e-06,-4.74575692524e-06,1.02757210413e-06,2.24536358919e-06,0.000263719955818,7.21102916197e-06,-9.49151385048e-06,2.05514420826e-06,4.49072717839e-06,0.000263719955818
deepsets_ae_seed47,DeepSets-AE,delaunay,midfielder,0.25,1306,3,3.30445229733e-06,1.32178091893e-05,0.372767557337,0.810662352104,4.26715595957e-06,-1.61305406725e-06,-2.4731220543e-07,3.46537504091e-06,0.000596649940051,1.70686238383e-05,-6.45221626899e-06,-9.8924882172e-07,1.38615001636e-05,0.000596649940051
deepsets_ae_seed47,DeepSets-AE,delaunay,midfielder,0.5,1181,3,1.17963194141e-05,2.35926388281e-05,0.377990974455,0.86957071167,1.82522319576e-05,-1.44856267085e-05,-4.82226532156e-07,1.23574657336e-05,0.00160316543465,3.65044639151e-05,-2.89712534171e-05,-9.64453064311e-07,2.47149314673e-05,0.00160316543465
deepsets_ae_seed47,DeepSets-AE,knn4,defender,0.25,996,3,-9.50203363196e-07,-3.80081345279e-06,0.385979354922,1.44785020027,6.97800651932e-08,8.19000399427e-07,-7.05389941581e-07,-6.35401657143e-07,0.00442455080812,2.79120260773e-07,3.27600159771e-06,-2.82155976632e-06,-2.54160662857e-06,0.00442455080812
deepsets_ae_seed47,DeepSets-AE,knn4,defender,0.5,833,3,-6.59858479219e-06,-1.31971695844e-05,0.400056029495,1.41106205874,-2.63432185378e-06,5.65619483271e-06,-3.4367791302e-06,-5.22103564186e-06,0.00654902880018,-5.26864370757e-06,1.13123896654e-05,-6.8735582604e-06,-1.04420712837e-05,0.00654902880018
deepsets_ae_seed47,DeepSets-AE,knn4,forward,0.25,1326,3,1.57102740189e-07,6.28410960754e-07,0.430484134343,0.259939313215,2.64255707582e-06,-6.37409832363e-06,5.56340402772e-07,4.32236189648e-08,0.00469575461521,1.05702283033e-05,-2.54963932945e-05,2.22536161109e-06,1.72894475859e-07,0.00469575461521
deepsets_ae_seed47,DeepSets-AE,knn4,forward,0.5,1163,3,9.33481513275e-07,1.86696302655e-06,0.430662457895,0.263804271559,8.37679005016e-06,-1.86395324294e-05,1.50062456234e-06,7.4531436966e-07,0.00281183941474,1.67535801003e-05,-3.72790648588e-05,3.00124912469e-06,1.49062873932e-06,0.00281183941474
deepsets_ae_seed47,DeepSets-AE,knn4,midfielder,0.25,1299,3,3.04896800311e-06,1.21958720124e-05,0.430463609107,0.743571626324,9.07488370333e-07,1.45260193168e-06,9.65617341727e-07,2.25078629763e-06,0.011129732564,3.62995348133e-06,5.81040772672e-06,3.86246936691e-06,9.00314519054e-06,0.011129732564
deepsets_ae_seed47,DeepSets-AE,knn4,midfielder,0.5,1174,3,1.17094187761e-05,2.34188375522e-05,0.440425841299,0.782862769968,5.92947888869e-06,4.98639616768e-06,2.18332390441e-06,9.83485961544e-06,0.00482092610534,1.18589577774e-05,9.97279233535e-06,4.36664780883e-06,1.96697192309e-05,0.00482092610534
gat_ae_seed11,GAT-small-AE,delaunay,defender,0.25,933,3,-6.71392340624e-06,-2.6855693625e-05,0.321799573575,1.8319733183,-7.26955228767e-06,4.26709501897e-05,-6.64932496429e-06,-5.7194446319e-06,0.0425008486522,-2.90782091507e-05,0.000170683800759,-2.65972998572e-05,-2.28777785276e-05,0.0425008486522
gat_ae_seed11,GAT-small-AE,delaunay,defender,0.5,794,3,-2.93707517292e-05,-5.87415034585e-05,0.326854996046,1.86520703795,-3.00188395095e-05,0.00015304088108,-2.4659932657e-05,-2.59925428764e-05,0.0380587782565,-6.0037679019e-05,0.00030608176216,-4.93198653141e-05,-5.19850857529e-05,0.0380587782565
gat_ae_seed11,GAT-small-AE,delaunay,forward,0.25,1318,3,-4.0670446995e-06,-1.6268178798e-05,0.341527115453,0.275581572239,9.05865559506e-07,-9.46845520496e-06,-2.25944591863e-06,-2.95053029309e-06,0.00171313751016,3.62346223802e-06,-3.78738208199e-05,-9.03778367451e-06,-1.18021211723e-05,0.00171313751016
gat_ae_seed11,GAT-small-AE,delaunay,forward,0.5,1154,3,-1.69168208666e-05,-3.38336417332e-05,0.346914886081,0.278542722351,-2.17918074775e-05,2.33019364764e-05,-5.35666677879e-06,-1.52000793867e-05,0.000599869257861,-4.35836149551e-05,4.66038729527e-05,-1.07133335576e-05,-3.04001587733e-05,0.000599869257861
gat_ae_seed11,GAT-small-AE,delaunay,midfielder,0.25,1306,3,2.33237173802e-05,9.32948695208e-05,0.372767557337,0.810662352104,2.35551172117e-05,-9.673387983e-06,2.69607026463e-06,2.21347946643e-05,0.00345142102,9.4220468847e-05,-3.8693551932e-05,1.07842810585e-05,8.85391786572e-05,0.00345142102
gat_ae_seed11,GAT-small-AE,delaunay,midfielder,0.5,1181,3,9.81993840772e-05,0.000196398768154,0.377990974455,0.86957071167,0.000105355963775,-5.66078633437e-05,1.12794320557e-05,9.37669661074e-05,0.00465145936698,0.000210711927549,-0.000113215726687,2.25588641114e-05,0.000187533932215,0.00465145936698
gat_ae_seed11,GAT-small-AE,knn4,defender,0.25,996,3,-5.38955251855e-06,-2.15582100742e-05,0.385979354922,1.44785020027,-5.22381583255e-06,2.39760026591e-05,-5.25462014053e-06,-3.57747661542e-06,0.0301744667793,-2.08952633302e-05,9.59040106363e-05,-2.10184805621e-05,-1.43099064617e-05,0.0301744667793
gat_ae_seed11,GAT-small-AE,knn4,defender,0.5,833,3,-2.7369193527e-05,-5.4738387054e-05,0.400056029495,1.41106205874,-1.82406755071e-05,7.84109263025e-05,-2.29568256839e-05,-1.92654173732e-05,0.0300763350671,-3.64813510142e-05,0.000156821852605,-4.59136513679e-05,-3.85308347464e-05,0.0300763350671
gat_ae_seed11,GAT-small-AE,knn4,forward,0.25,1326,3,-5.02746748888e-06,-2.01098699555e-05,0.430484134343,0.259939313215,-2.24857091679e-07,-9.55207224898e-06,-6.44295730711e-07,-4.50435043471e-06,0.000971050974375,-8.99428366714e-07,-3.82082889959e-05,-2.57718292285e-06,-1.80174017388e-05,0.000971050974375
gat_ae_seed11,GAT-small-AE,knn4,forward,0.5,1163,3,-1.77190309953e-05,-3.54380619905e-05,0.430662457895,0.263804271559,-1.19960409179e-06,-3.22087040289e-05,-2.44956124777e-06,-1.57168884551e-05,0.00074151154064,-2.39920818359e-06,-6.44174080578e-05,-4.89912249554e-06,-3.14337769102e-05,0.00074151154064
gat_ae_seed11,GAT-small-AE,knn4,midfielder,0.25,1299,3,1.66994870122e-05,6.67979480488e-05,0.430463609107,0.743571626324,-1.06286512228e-06,8.29893791122e-06,9.15983538923e-06,9.32051933997e-06,0.0679819740951,-4.25146048912e-06,3.31957516449e-05,3.66393415569e-05,3.72820773599e-05,0.0679819740951
gat_ae_seed11,GAT-small-AE,knn4,midfielder,0.5,1174,3,6.90611196742e-05,0.000138122239348,0.440425841299,0.782862769968,-2.86826159468e-06,2.38028821956e-05,3.84688677998e-05,3.7730987225e-05,0.083120313108,-5.73652318937e-06,4.76057643913e-05,7.69377355996e-05,7.54619744499e-05,0.083120313108
gat_ae_seed23,GAT-small-AE,delaunay,defender,0.25,933,3,-1.34771659827e-06,-5.39086639306e-06,0.321799573575,1.8319733183,-8.11394450171e-06,5.62507590835e-05,-5.95745841136e-06,-9.26379069893e-07,0.0232156909287,-3.24557780068e-05,0.000225003036334,-2.38298336454e-05,-3.70551627957e-06,0.0232156909287
gat_ae_seed23,GAT-small-AE,delaunay,defender,0.5,794,3,-1.00502889763e-05,-2.01005779526e-05,0.326854996046,1.86520703795,-4.3611027915e-05,0.000233938689583,-2.26496540195e-05,-9.39329254053e-06,0.0233214605845,-8.722205583e-05,0.000467877379166,-4.52993080391e-05,-1.87865850811e-05,0.0233214605845
gat_ae_seed23,GAT-small-AE,delaunay,forward,0.25,1318,3,-1.31219761144e-05,-5.24879044575e-05,0.341527115453,0.275581572239,-1.57822063273e-05,8.52197580803e-06,-5.72524635672e-07,-1.30294977509e-05,0.000220299883427,-6.31288253094e-05,3.40879032321e-05,-2.29009854269e-06,-5.21179910036e-05,0.000220299883427
gat_ae_seed23,GAT-small-AE,delaunay,forward,0.5,1154,3,-5.789067551e-05,-0.00011578135102,0.346914886081,0.278542722351,-9.65447468768e-05,0.000100942943631,2.46296974679e-06,-6.08400947882e-05,0.00187088896048,-0.000193089493754,0.000201885887261,4.92593949357e-06,-0.000121680189576,0.00187088896048
gat_ae_seed23,GAT-small-AE,delaunay,midfielder,0.25,1306,3,2.62261349793e-05,0.000104904539917,0.372767557337,0.810662352104,3.09968094049e-05,-1.25232657077e-05,1.18655086516e-07,2.64247314487e-05,0.000500262436806,0.00012398723762,-5.00930628309e-05,4.74620346064e-07,0.000105698925795,0.000500262436806
gat_ae_seed23,GAT-small-AE,delaunay,midfielder,0.5,1181,3,0.000110534567837,0.000221069135674,0.377990974455,0.86957071167,0.000129033803588,-5.30717539314e-05,1.98716925818e-06,0.00011070114379,0.000672686993775,0.000258067607177,-0.000106143507863,3.97433851636e-06,0.00022140228758,0.000672686993775
gat_ae_seed23,GAT-small-AE,knn4,defender,0.25,996,3,6.89283432252e-07,2.75713372901e-06,0.385979354922,1.44785020027,-2.416321216e-06,2.80335039233e-05,-4.43323138257e-06,1.9853775994e-06,0.0129800691903,-9.66528486399e-06,0.000112134015693,-1.77329255303e-05,7.94151039761e-06,0.0129800691903
gat_ae_seed23,GAT-small-AE,knn4,defender,0.5,833,3,-3.03189436785e-06,-6.06378873571e-06,0.400056029495,1.41106205874,-2.67011012731e-05,0.000149215437331,-2.15785284148e-05,2.54479139546e-06,0.0186433414853,-5.34022025461e-05,0.000298430874662,-4.31570568296e-05,5.08958279091e-06,0.0186433414853
gat_ae_seed23,GAT-small-AE,knn4,forward,0.25,1326,3,-1.59143502536e-05,-6.36574010144e-05,0.430484134343,0.259939313215,-1.61773559104e-05,5.01181429028e-06,-2.75633518859e-06,-1.47363292501e-05,0.00117564906305,-6.47094236417e-05,2.00472571611e-05,-1.10253407544e-05,-5.89453170004e-05,0.00117564906305
gat_ae_seed23,GAT-small-AE,knn4,forward,0.5,1163,3,-6.35041108136e-05,-0.000127008221627,0.430662457895,0.263804271559,-7.86043898301e-05,5.15900387832e-05,-1.17377049392e-05,-5.94829536261e-05,0.00183045819196,-0.00015720877966,0.000103180077566,-2.34754098784e-05,-0.000118965907252,0.00183045819196
gat_ae_seed23,GAT-small-AE,knn4,midfielder,0.25,1299,3,1.94987487206e-05,7.79949948823e-05,0.430463609107,0.743571626324,1.60876780669e-06,4.34431952387e-06,1.04574627137e-05,1.12547118253e-05,0.0482298717537,6.43507122676e-06,1.73772780955e-05,4.18298508548e-05,4.50188473012e-05,0.0482298717537
gat_ae_seed23,GAT-small-AE,knn4,midfielder,0.5,1174,3,8.18732751492e-05,0.000163746550298,0.440425841299,0.782862769968,5.97888482154e-06,1.76637462607e-05,4.27902668022e-05,4.72573619254e-05,0.0558970168434,1.19577696431e-05,3.53274925214e-05,8.55805336044e-05,9.45147238507e-05,0.0558970168434
gat_ae_seed47,GAT-small-AE,delaunay,defender,0.25,933,3,-8.3339175994e-06,-3.33356703976e-05,0.321799573575,1.8319733183,-1.11783594772e-06,2.40366588874e-05,-7.24943854039e-06,-6.66362734623e-06,0.0606893221627,-4.47134379087e-06,9.61466355498e-05,-2.89977541616e-05,-2.66545093849e-05,0.0606893221627
gat_ae_seed47,GAT-small-AE,delaunay,defender,0.5,794,3,-3.4602673288e-05,-6.92053465759e-05,0.326854996046,1.86520703795,-8.81507244403e-07,7.95267076521e-05,-2.85472727876e-05,-2.81343796468e-05,0.0589539590353,-1.76301448881e-06,0.000159053415304,-5.70945455752e-05,-5.62687592936e-05,0.0589539590353
gat_ae_seed47,GAT-small-AE,delaunay,forward,0.25,1318,3,-1.94506507723e-06,-7.78026030892e-06,0.341527115453,0.275581572239,6.27791489731e-06,-2.10190559053e-05,-9.73047212037e-07,-1.16881651612e-06,0.00389521522015,2.51116595892e-05,-8.40762236211e-05,-3.89218884815e-06,-4.67526606448e-06,0.00389521522015
gat_ae_seed47,GAT-small-AE,delaunay,forward,0.5,1154,3,-8.51292750658e-06,-1.70258550132e-05,0.346914886081,0.278542722351,4.39988203767e-06,-3.52806546696e-05,1.33188090773e-08,-7.83579240056e-06,0.000681666437717,8.79976407534e-06,-7.05613093392e-05,2.66376181547e-08,-1.56715848011e-05,0.000681666437717
gat_ae_seed47,GAT-small-AE,delaunay,midfielder,0.25,1306,3,2.28471084174e-05,9.13884336696e-05,0.372767557337,0.810662352104,2.41142039265e-05,-9.51385936771e-06,1.86770131274e-06,2.20818209484e-05,0.00245178673139,9.64568157059e-05,-3.80554374708e-05,7.47080525097e-06,8.83272837934e-05,0.00245178673139
gat_ae_seed47,GAT-small-AE,delaunay,midfielder,0.5,1181,3,9.46447063966e-05,0.000189289412793,0.377990974455,0.86957071167,0.000100691131655,-4.501422937e-05,8.71034695927e-06,9.12504218351e-05,0.00340061025884,0.00020138226331,-9.00284587399e-05,1.74206939185e-05,0.00018250084367,0.00340061025884
gat_ae_seed47,GAT-small-AE,knn4,defender,0.25,996,3,-5.96148182589e-06,-2.38459273036e-05,0.385979354922,1.44785020027,-1.07066460082e-06,4.25796553495e-06,-3.45366877781e-06,-4.42757284198e-06,0.0187320594866,-4.28265840329e-06,1.70318621398e-05,-1.38146751112e-05,-1.77102913679e-05,0.0187320594866
gat_ae_seed47,GAT-small-AE,knn4,defender,0.5,833,3,-2.6755115422e-05,-5.3510230844e-05,0.400056029495,1.41106205874,-1.61554467347e-06,1.43129215427e-05,-1.68352548025e-05,-1.96451634117e-05,0.0239945474702,-3.23108934693e-06,2.86258430853e-05,-3.36705096051e-05,-3.92903268235e-05,0.0239945474702
gat_ae_seed47,GAT-small-AE,knn4,forward,0.25,1326,3,-2.18752642383e-06,-8.75010569531e-06,0.430484134343,0.259939313215,4.91022824957e-06,-1.91473315998e-05,2.17628413985e-06,-2.76669241447e-06,0.00765553743327,1.96409129983e-05,-7.65893263992e-05,8.70513655941e-06,-1.10667696579e-05,0.00765553743327
gat_ae_seed47,GAT-small-AE,knn4,forward,0.5,1163,3,-6.01868535154e-06,-1.20373707031e-05,0.430662457895,0.263804271559,1.2047218433e-05,-5.4190560992e-05,9.29012243071e-06,-8.83984777796e-06,0.00555348006549,2.4094436866e-05,-0.000108381121984,1.85802448614e-05,-1.76796955559e-05,0.00555348006549
gat_ae_seed47,GAT-small-AE,knn4,midfielder,0.25,1299,3,1.56166922413e-05,6.24667689652e-05,0.430463609107,0.743571626324,-6.41089450852e-06,1.40805800431e-05,1.01967259464e-05,7.23227889026e-06,0.118438248102,-2.56435780341e-05,5.63223201724e-05,4.07869037854e-05,2.8929115561e-05,0.118438248102
gat_ae_seed47,GAT-small-AE,knn4,midfielder,0.5,1174,3,6.42843201782e-05,0.000128568640356,0.440425841299,0.782862769968,-3.2471049037e-05,6.87987470399e-05,4.08824064426e-05,2.98350109591e-05,0.125297613562,-6.49420980739e-05,0.00013759749408,8.17648128853e-05,5.96700219181e-05,0.125297613562
phase_gat_seed11,Phase-GAT,delaunay,defender,0.25,933,3,-1.74978921651e-05,-6.99915686604e-05,0.321799573575,1.8319733183,-4.04213201504e-05,0.000125959533489,-9.72326055253e-06,-1.77003498851e-05,0.013005223966,-0.000161685280602,0.000503838133956,-3.88930422101e-05,-7.08013995405e-05,0.013005223966
phase_gat_seed11,Phase-GAT,delaunay,defender,0.5,794,3,-5.74578266e-05,-0.0001149156532,0.326854996046,1.86520703795,-0.000186042998123,0.000560407980441,-3.19971989374e-05,-6.25522505441e-05,0.0139684984467,-0.000372085996245,0.00112081596088,-6.39943978748e-05,-0.000125104501088,0.0139684984467
phase_gat_seed11,Phase-GAT,delaunay,forward,0.25,1318,3,-1.21303140122e-06,-4.85212560489e-06,0.341527115453,0.275581572239,1.17300488564e-05,-1.44282922087e-05,-1.11443293095e-05,3.73122404479e-06,0.00473513483569,4.69201954256e-05,-5.77131688348e-05,-4.4577317238e-05,1.49248961792e-05,0.00473513483569
phase_gat_seed11,Phase-GAT,delaunay,forward,0.5,1154,3,-3.3536135014e-06,-6.70722700281e-06,0.346914886081,0.278542722351,3.61912121035e-05,-2.71041262012e-05,-4.33523581211e-05,1.47129033987e-05,0.00440393250207,7.23824242069e-05,-5.42082524024e-05,-8.67047162421e-05,2.94258067974e-05,0.00440393250207
phase_gat_seed11,Phase-GAT,delaunay,midfielder,0.25,1306,3,2.07489884101e-05,8.29959536402e-05,0.372767557337,0.810662352104,7.78917257029e-07,5.72074656662e-05,-1.91663694252e-06,2.05502590829e-05,0.00394007099934,3.11566902812e-06,0.000228829862665,-7.66654777008e-06,8.22010363316e-05,0.00394007099934
phase_gat_seed11,Phase-GAT,delaunay,midfielder,0.5,1181,3,8.76322022744e-05,0.000175264404549,0.377990974455,0.86957071167,4.98505238654e-05,0.000132184827953,-1.09908089194e-05,9.02579102577e-05,0.00199432276673,9.97010477307e-05,0.000264369655906,-2.19816178388e-05,0.000180515820515,0.00199432276673
phase_gat_seed11,Phase-GAT,knn4,defender,0.25,996,3,-1.81071250793e-05,-7.24285003172e-05,0.385979354922,1.44785020027,-6.29999529033e-06,1.39975269563e-05,-9.13920760243e-06,-1.41294424227e-05,0.00533558821145,-2.51999811613e-05,5.5990107825e-05,-3.65568304097e-05,-5.6517769691e-05,0.00533558821145
