parent,t_star,terr_s2001,terr_s2002,terr_s2003,terr_s2004,terr_s2005,terr_s2006,terr_s2007,terr_s2008,terr_ens
37,0.540245,,,0.077103,0.182022,,,,0.109558,
241,0.487923,,,,,0.212585,,,,
241,0.487923,,,,,0.14061,,,,
413,0.702965,0.227463,0.08371,0.169952,0.089325,0.006699,0.090591,0.065292,0.081284,0.029739
413,0.702965,,0.01973,,0.050797,0.20491,0.239227,,,0.162796
451,0.900475,0.123047,0.000702,0.088959,0.030151,0.037308,0.135712,0.105347,0.107071,0.072113
451,0.900475,0.051056,,0.058517,0.032196,0.052811,0.034576,0.074066,0.052261,0.001816
223,0.879021,,0.075592,0.071762,0.07756,,,,0.002335,
223,0.879021,,,,,,,,,
91,0.727882,,,,0.186432,,,,,
91,0.727882,,,,0.170151,,0.248169,,,
220,0.801018,,0.211624,,0.102463,0.037521,0.19548,0.01329,0.160736,0.048813
220,0.801018,0.027313,0.07605,,0.098129,,0.181198,0.165176,,
450,0.916115,0.012787,0.047058,0.025711,,0.062912,,,,
450,0.916115,,,,0.00322,,,0.081833,,
67,0.709023,0.020065,0.142639,0.225067,0.188385,0.058395,0.098846,0.060944,0.226212,0.074982
67,0.709023,0.162796,0.110077,0.159378,0.113297,0.211212,0.168472,0.068924,0.01384,0.132858
127,0.621346,0.1539,0.51532,0.276962,0.603119,0.16774,0.331177,0.379227,0.366165,0.332016
127,0.621346,0.112045,0.509933,0.324722,0.601822,0.204437,0.410751,0.354172,0.440994,0.358444
45,0.837227,,,,,,,,,
45,0.837227,,,,,0.136627,,,,
144,0.891884,0.154922,0.016434,,0.259384,,0.285294,0.423843,0.163513,0.150436
144,0.891884,0.062622,,,0.209198,,0.318817,0.181732,0.186615,0.025055
36,0.82003,,0.030472,,,,,,,
36,0.82003,0.123856,0.158615,0.043427,0.092209,0.185287,0.104248,0.010895,0.193817,0.109375
314,0.927315,0.097107,0.171066,,,,,0.163284,0.120102,
314,0.927315,0.04303,,0.081833,0.084061,0.021881,0.083679,0.048645,0.100967,0.047684
426,0.677574,0.297745,0.091675,,0.0728,0.058685,0.10495,,,0.157196
426,0.677574,,0.222351,0.301971,0.108887,0.031921,0.112579,0.159546,,0.023682
231,0.861931,0.190353,0.506454,0.227676,0.139786,0.224426,0.432678,0.293777,0.444321,0.301071
231,0.861931,0.121536,0.489105,0.151215,0.364044,0.302109,0.454254,0.455002,0.444443,0.364777
99,0.503471,,,,,,,,,
99,0.503471,,,,,,,,,
482,0.781258,0.144196,0.196396,0.250946,,0.371552,0.278687,0.147339,0.147736,0.057266
482,0.781258,0.387848,0.293686,0.309402,0.183884,0.373383,0.40863,0.319061,0.308258,0.326599
474,0.746025,,,0.100388,,,,,0.176788,
474,0.746025,,0.018784,0.198868,0.086227,,0.059937,0.149231,0.024261,0.115814
373,0.889641,,,0.107864,,,,,,
373,0.889641,,,,,,0.009949,,0.008667,
377,0.869942,,,,,,,,,
377,0.869942,,,,,,,,,
337,0.764671,0.146851,0.047241,0.009201,0.158325,0.180664,0.134033,0.254486,0.033524,0.063568
337,0.764671,0.202896,0.039032,,0.011505,0.051697,0.146362,0.006073,0.18338,0.098007
151,0.846672,,,,,,,,,
151,0.846672,0.128235,,,,,0.126205,,0.12706,
475,0.482292,,0.201263,0.096436,0.168594,,0.414886,0.241104,0.300934,0.31813
475,0.482292,,0.198914,0.056549,0.029297,0.228668,0.481583,0.443466,0.254623,0.264999
250,0.839165,0.271255,0.326828,0.145462,0.392563,0.166214,0.173462,0.237427,0.414337,0.243134
250,0.839165,0.359741,0.207092,,0.310272,0.012589,0.034378,0.108551,0.310562,0.073441
187,0.827629,0.300385,0.300354,0.394928,0.201599,0.370285,0.302032,0.220612,,0.279709
187,0.827629,0.233643,0.320755,0.402817,0.34053,0.378662,0.415146,0.341049,0.147064,0.314117
