name,size,arch,seed,frac,lr,dev_bce,train_error,final_loss,steps,init_sha256,checkpoint_sha256,train_sha256,flip_sha256,batch_order,subset_sha256,oracle_candidate_queries,retained_flip_labels,training_state_forwards
N_raw_s47_f100_lr0.003,N,raw,47,100,0.003,2.177140951156616,0.001953125,0.026814445853233337,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,b029d9e616baf892c58662049d453541b1b92cccd8aa99bf7c51d0a8ef6ae829,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_raw_s47_f100_lr0.001,N,raw,47,100,0.001,1.3235206604003906,0.01171875,0.16856515407562256,300,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,643f5bca40c27988ac9de4e207e8f70dd4fa37fe8ffe5e156498e988cb536c0e,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_sixdist_s11_f0_lr0.01,N,sixdist,11,0,0.01,2.8341872692108154,0.0,3.248508437536657e-05,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,f80ba18a14cc345f19569c41236e4ad92e536055ac9c68754f3564aa17ae84c2,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s11_f0_lr0.003,N,sixdist,11,0,0.003,1.8224313259124756,0.0,0.00017906611901707947,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,d58f7f8c3acde3e27cc46863140153bb22dcbb1479a9364d77a36951eb26ad15,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s11_f0_lr0.001,N,sixdist,11,0,0.001,1.1833871603012085,0.0,0.0022677332162857056,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,a8cd0022c59f8e7fd22a8ec8f284827216f0b50ff2eb659fc2f6778656c23915,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s11_f25_lr0.01,N,sixdist,11,25,0.01,0.23190656304359436,0.00390625,0.019052712246775627,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,2bea2f6d1fb32874596be8b9114a5bf70ec12c89affeb83f56f44cb1162ba1d9,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s11_f25_lr0.003,N,sixdist,11,25,0.003,0.332207590341568,0.005859375,0.0180242620408535,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,4325d34db09c3f2c8cbf999bd1879fab9d490d970ae04cf42ac748d933db078a,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s11_f25_lr0.001,N,sixdist,11,25,0.001,0.2861163020133972,0.005859375,0.03211298584938049,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,64ec9afcb52d359e598cdfb962151f078bc24357c7e4838a6398e867571d24e7,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s11_f100_lr0.01,N,sixdist,11,100,0.01,0.17620670795440674,0.00390625,0.027032993733882904,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,9e79136608fe11cee72efa70a0abcada604499946b0da845285ce6d15aa8cdf1,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_sixdist_s11_f100_lr0.003,N,sixdist,11,100,0.003,0.2549981474876404,0.001953125,0.018704507499933243,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,15f83412bf89ba9310292d208820343c29a802e981b6dd2d519b9e5aabadf6c1,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
