sample_id,frame,band_id,eigenvalue_min,eigenvalue_max,energy,energy_error,mode_purity,graph_degree_mean
sc_1886347_0003,108,5,1.373683578219483,1.4866130662539594,1.0,0.0,1.0,3.597320405752491
sc_1886347_0004,140,0,0.0,0.23372606885784153,1.0,0.0,1.0,3.7333437514129186
sc_1886347_0004,140,1,0.5623391990808332,0.8644906480047045,1.0,0.0,1.0,3.7333437514129186
sc_1886347_0004,140,2,0.9484764545201626,1.1399054089492844,1.0,0.0,1.0000000000000002,3.7333437514129186
sc_1886347_0004,140,3,1.182390254315127,1.267393499889206,1.0,0.0,1.0,3.7333437514129186
sc_1886347_0004,140,4,1.2789069917240055,1.3269404505023796,0.9999999999999999,1.1102230246251565e-16,1.0,3.7333437514129186
sc_1886347_0004,140,5,1.3483052461230807,1.5027898447624077,1.0,0.0,1.0,3.7333437514129186
sc_1886347_0005,173,0,0.0,0.24345931092491635,1.0,0.0,1.0,3.8439344925077017
sc_1886347_0005,173,1,0.535536580751641,0.8049224541215082,0.9999999999999999,1.1102230246251565e-16,1.0,3.8439344925077017
sc_1886347_0005,173,2,0.9584034705181749,1.1732618328503779,0.9999999999999999,1.1102230246251565e-16,1.0,3.8439344925077017
sc_1886347_0005,173,3,1.200569008089394,1.2594780581707659,0.9999999999999998,2.220446049250313e-16,1.0,3.8439344925077017
sc_1886347_0005,173,4,1.268988887905889,1.3200267638810321,1.0,0.0,1.0,3.8439344925077017
sc_1886347_0005,173,5,1.3336308380529043,1.5532770636326771,1.0,0.0,1.0,3.8439344925077017
sc_1886347_0006,206,0,-2.220446049250313e-16,0.3365777091459816,0.9999999999999999,1.1102230246251565e-16,1.0,3.7771378141912244
sc_1886347_0006,206,1,0.40867241060211157,0.8081266645107108,1.0,0.0,1.0000000000000002,3.7771378141912244
sc_1886347_0006,206,2,0.9260771202502887,1.1147149012630337,1.0,0.0,1.0,3.7771378141912244
sc_1886347_0006,206,3,1.154785472522912,1.2714202908563104,1.0,0.0,1.0,3.7771378141912244
sc_1886347_0006,206,4,1.3026766178060263,1.3399563557642256,0.9999999999999999,1.1102230246251565e-16,1.0,3.7771378141912244
sc_1886347_0006,206,5,1.3798166680140003,1.5245241650435122,0.9999999999999999,1.1102230246251565e-16,1.0,3.7771378141912244
sc_1886347_0007,238,0,-2.220446049250313e-16,0.28200686636938843,1.0,0.0,1.0,3.86678570569754
sc_1886347_0007,238,1,0.608945213989388,0.8555867073264681,0.9999999999999999,1.1102230246251565e-16,1.0,3.86678570569754
sc_1886347_0007,238,2,0.8760661471920742,1.1642640874789794,1.0000000000000002,2.220446049250313e-16,1.0,3.86678570569754
sc_1886347_0007,238,3,1.193363787816649,1.228892730294774,1.0,0.0,1.0,3.86678570569754
sc_1886347_0007,238,4,1.2600126084991663,1.3350504143690336,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,3.86678570569754
sc_1886347_0007,238,5,1.3591730787896175,1.5120780139735062,0.9999999999999999,1.1102230246251565e-16,1.0,3.86678570569754
sc_1886347_0008,271,0,2.220446049250313e-16,0.22004642467746427,1.0,0.0,1.0,3.7424771875928373
sc_1886347_0008,271,1,0.49669092380588054,0.8600188912005304,0.9999999999999999,1.1102230246251565e-16,1.0,3.7424771875928373
sc_1886347_0008,271,2,1.0035910372863954,1.1869671255271563,1.0,0.0,1.0000000000000002,3.7424771875928373
sc_1886347_0008,271,3,1.2034452422677575,1.2291278356919242,1.0,0.0,1.0,3.7424771875928373
sc_1886347_0008,271,4,1.2902304311988217,1.3396385609552515,0.9999999999999999,1.1102230246251565e-16,1.0,3.7424771875928373
