111_regression_n,J,J_diff_all,J_diff_all_parent_boot95,J_diff_common_retained,J_diff_common_retained_boot95,J_retained,P_start,arm,arm_label,baseline,baseline110_n,baseline110_n_retained,baseline111_n,coverage_quartet,flip_err_all,flip_err_diff_common_retained,flip_err_diff_common_retained_boot95,flip_err_retained,flip_err_retained_startok,flip_n_retained,full_repair_n,full_repair_n_retained,keep_err_all,keep_err_diff_common_retained,keep_err_diff_common_retained_boot95,keep_err_retained,keep_err_retained_startok,keep_n_retained,migration_n,n_common_retained_quartets,n_parents,n_quartets,row_type,seed
,0.7044025157232704,,,,,0.6615384615384615,0.9874213836477987,shuffled_matched,shuffled-matched,,,4,,0.4088050314465409,0.10062893081761007,,,0.07692307692307693,0.07692307692307693,65,,43,0.12264150943396226,,,0.14615384615384616,0.14615384615384616,130,,,74,159,arm,805
,0.7421383647798742,,,,,0.68,1.0,shuffled_matched,shuffled-matched,,,6,,0.4716981132075472,0.07547169811320754,,,0.08,0.08,75,,51,0.10062893081761007,,,0.12666666666666668,0.12666666666666668,150,,,74,159,arm,806
8,,-0.018867924528301886,"[-0.07236842105263158, 0.030864197530864196]",0.0,"[-0.058823529411764705, 0.05555555555555555]",,,matched,matched rel10,ordered,12,,114,,,0.0,"[-0.061232339089481946, 0.0625]",,,,3,,,0.0,"[0.0, 0.0]",,,,0,48,,,pair,803
7,,0.031446540880503145,"[-0.033715508675380264, 0.1032258064516129]",0.0,"[-0.05263157894736842, 0.06]",,,matched,matched rel10,ordered,10,,102,,,0.07407407407407407,"[0.0, 0.16666666666666666]",,,,1,,,-0.037037037037037035,"[-0.09093228200371058, 0.0]",,,,0,54,,,pair,805
9,,-0.025157232704402517,"[-0.09259565857247976, 0.03205645161290319]",0.0,"[0.0, 0.0]",,,matched,matched rel10,ordered,12,,116,,,0.0,"[0.0, 0.0]",,,,3,,,0.0,"[0.0, 0.0]",,,,0,25,,,pair,806
6,,0.05660377358490566,"[-0.011836080586080586, 0.1394017379679144]",0.09836065573770492,"[0.0, 0.2222222222222222]",,,matched,matched rel10,pretrained_flip,16,,102,,,-0.04918032786885246,"[-0.12, 0.018518518518518517]",,,,6,,,-0.02459016393442623,"[-0.07894736842105263, 0.0]",,,,0,61,,,pair,803
7,,-0.025157232704402517,"[-0.07335185185185185, 0.01744699042407658]",0.0,"[-0.043478260869565216, 0.05172413793103448]",,,matched,matched rel10,pretrained_flip,12,,111,,,0.03278688524590164,"[-0.041681338028169014, 0.1166911764705881]",,,,2,,,-0.01639344262295082,"[-0.0625, 0.016666666666666666]",,,,0,61,,,pair,805
8,,-0.006289308176100629,"[-0.06832723559942143, 0.04938441188441187]",-0.03125,"[-0.12130681818181818, 0.0]",,,matched,matched rel10,pretrained_flip,12,,113,,,0.03125,"[0.0, 0.125]",,,,2,,,0.0,"[0.0, 0.0]",,,,2,32,,,pair,806
8,,0.1320754716981132,"[0.03749417701863354, 0.23335443037974674]",0.06779661016949153,"[-0.05555555555555555, 0.2065311094452773]",,,matched,matched rel10,shuffled_matched,29,,90,,,-0.1016949152542373,"[-0.23171173559561684, 0.0]",,,,18,,,0.01694915254237288,"[0.0, 0.04387426900584787]",,,,1,59,,,pair,803
6,,-0.031446540880503145,"[-0.07831620600047248, 0.006494567523979283]",0.0,"[0.0, 0.0]",,,matched,matched rel10,shuffled_matched,12,,112,,,0.03571428571428571,"[0.0, 0.12003030303030286]",,,,0,,,-0.026785714285714284,"[-0.07463619402985074, 0.0]",,,,0,56,,,pair,805
