encoder_seed,head,parent,n_quartets,S,J_star,J,J_head_dev
raw_clean_s11,ranking_static,190,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,191,4,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,192,2,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,197,2,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,208,2,1.0,0.0,0.5,0.0
raw_clean_s11,ranking_static,229,3,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,230,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,233,7,0.2857142857142857,0.0,0.0,0.0
raw_clean_s11,ranking_static,236,1,1.0,0.0,0.0,1.0
raw_clean_s11,ranking_static,237,2,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,244,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,245,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,246,6,0.8333333333333334,0.0,0.0,0.5
raw_clean_s11,ranking_static,271,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,272,5,0.4,0.0,0.0,0.0
raw_clean_s11,ranking_static,275,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,276,3,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,285,3,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,286,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,288,2,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,289,2,0.5,0.0,0.0,0.0
raw_clean_s11,ranking_static,292,1,1.0,1.0,1.0,0.0
raw_clean_s11,ranking_static,295,1,1.0,1.0,1.0,0.0
raw_clean_s11,ranking_static,302,2,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,304,3,0.6666666666666666,0.0,0.0,0.0
raw_clean_s11,ranking_static,311,4,0.75,0.0,0.0,0.0
raw_clean_s11,ranking_static,315,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,325,2,0.5,0.0,0.0,0.0
raw_clean_s11,ranking_static,326,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,330,2,0.5,0.5,0.0,0.0
raw_clean_s11,ranking_static,331,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,ranking_static,335,3,1.0,0.0,0.0,0.6666666666666666
raw_clean_s11,ranking_static,336,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,340,1,0.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,342,1,1.0,0.0,1.0,0.0
raw_clean_s11,ranking_static,343,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,354,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,ranking_static,357,1,1.0,0.0,0.0,0.0
raw_clean_s11,ranking_static,362,3,1.0,0.0,0.0,0.0
