encoder_seed,head,S,J_star,J,J_head_dev_threshold,head_dev_threshold,ordering_failure,global_incompatibility,operating_point_gap
raw_flipmine_s47,ranking_flip,0.7046413502109703,0.08438818565400848,0.08016877637130802,0.07172995780590717,-0.42357058379355905,0.2953586497890297,0.6202531645569618,0.004219409282700454
raw_flipmine_s47,mlp_flip,0.6329113924050632,0.109704641350211,0.07172995780590717,0.07172995780590717,-0.24543321132659912,0.3670886075949368,0.5232067510548523,0.03797468354430383
relfeat_s47,logistic_static,0.8607594936708858,0.32911392405063317,0.20675105485232068,0.07172995780590717,-3.29084024265493,0.13924050632911422,0.5316455696202527,0.12236286919831249
relfeat_s47,ranking_static,0.8607594936708858,0.32911392405063317,0.20675105485232068,0.07172995780590717,-3.2913092710463303,0.13924050632911422,0.5316455696202527,0.12236286919831249
relfeat_s47,mlp_static,0.8691983122362867,0.34177215189873444,0.19409282700421943,0.07172995780590717,-3.5519394874572754,0.13080168776371326,0.5274261603375523,0.14767932489451502
relfeat_s47,logistic_flip,0.8607594936708858,0.3164556962025319,0.24050632911392406,0.2489451476793249,0.08804790180272803,0.13924050632911422,0.5443037974683539,0.07594936708860783
relfeat_s47,ranking_flip,0.8649789029535863,0.30801687763713104,0.2489451476793249,0.25738396624472576,0.09456981441196177,0.13502109704641374,0.5569620253164552,0.05907172995780613
relfeat_s47,mlp_flip,0.8607594936708858,0.29957805907173013,0.2489451476793249,0.2616033755274262,-0.29596540331840515,0.13924050632911422,0.5611814345991557,0.05063291139240522
relflip_s47,logistic_static,0.8818565400843879,0.4219409282700425,0.3586497890295358,0.35443037974683544,-0.15013446163100497,0.11814345991561215,0.45991561181434537,0.06329113924050667
relflip_s47,ranking_static,0.8818565400843879,0.4219409282700425,0.36286919831223624,0.35443037974683544,-0.15404805424967094,0.11814345991561215,0.45991561181434537,0.05907172995780624
relflip_s47,mlp_static,0.8860759493670883,0.41772151898734206,0.3375527426160337,0.4008438818565401,0.3981142044067383,0.11392405063291167,0.4683544303797463,0.08016877637130837
relflip_s47,logistic_flip,0.8818565400843879,0.4219409282700425,0.3966244725738396,0.4008438818565401,-0.32025802641119583,0.11814345991561215,0.45991561181434537,0.02531645569620289
relflip_s47,ranking_flip,0.8818565400843879,0.4219409282700425,0.3966244725738396,0.4008438818565401,-0.31998310239528394,0.11814345991561215,0.45991561181434537,0.02531645569620289
relflip_s47,mlp_flip,0.8818565400843879,0.4261603375527429,0.39240506329113917,0.4092827004219409,-0.5418031215667725,0.11814345991561215,0.45569620253164494,0.03375527426160374
