bank_index,parent_sha256,quartet_coords_sha256,x_image_sha256,A_image_sha256,B_image_sha256,AB_image_sha256
523,47872a17b5c457f9011c0d1f7dafb673fea72f5818aa8726becf189d8db909e1,42c207cc54d08ae9df01b72a445967372f998560f0c693397cf05f236c6acaf5,16f163dfc75b69fee0f87be174817c07f44ea6e536ba2fbede2389d910ef417f,2a3e17c206a6e1b7029779f0dfd2a1fed73ec73e5a012a69bda787ef646d98c1,ea27a9ddb5ee35367a2bfc4cf80e68f86edf7ae2fb56b63dc1bcfb0430538c54,153f81cd0da3dfe351a0369ad6267f88e2795548a98de1fc447b4fa0fa54b889
69,241b13f435908321bfa0cad092cbf0f582827193b8111c31f2b7d62f5211feee,4288e7835f1a085cc15e7b153e3dfba22f86dba9023cf3b0975481cfec0325dc,ea6aae88204408e06af3a42c144d1fa72b4598caee090bbdc67e3a94fee5fe8c,9504ec4fc20c4cf4f5811d9c90cf0e4a4e588b1a9ba30d4b5b06e742a9d59b6d,825507bee648545f38a723a9a0f93f83a87fe60cf2ffc2632961bdd8fd30a787,0ac4a5677929a9fb3106cd2c13a743bc7e770571f3f923929bd43f45b4b5dc2a
281,f753e8b646ef340b062283efd52a922df299b928639095da57736bb16485d7ac,228c2b012436382f0a1defb5019812bf94390b18d2cf38d77518f090990b1bfc,659d4d7d74708ae90ee87ec726981a74da8da156769e86c5f3bef3b328458af2,fc60af448aaf9f2031a48223b405974ed005f71f5d314bfe11bd84e4891f7d11,39efe87ec3044d1dfa5941ea64a4ff0523b488ef1bb90d0965bae6342aeb12b6,328f6b5af826c7a5f7df37ad713e711c20ed7a513d14a72102388e3864832081
210,910d770538aaa62b2e0fcf6b5a4472aaa4e83acf85208a28bc00e382daf1d822,1302e5845602e49582d4cf1f8a364e6973afb8dce2561cdf2d58d884ff6d4483,479c2377c50ad4c1d581f0aeb7d0d976439cdf453754144a61c1fd2485d259b8,7085905b7821fc3a953565dabd8c1b55a1532b5123255e3698fe8bf0e58ea8f1,181adc4c8410c656cf8ebd4823a20db7d9754772fd95ad5254b1b3fb4ba895a3,20e6218a8bb7b62a4f7da99cebb6e5b7e091c6d0753e2bae9e1567fed16dcc27
173,1df946b8244fc5b36e4b798b35b593dbf894cde86d36930d75fd00ebe29ac928,0fab141e2b59bd31f60838d97139707d6f8ac7799c23e7d2d86de671b86b0953,ba5628ebcf4033eb455cb391453b860c640dcab943ea665b51ce34a9e462e798,49619a440876c056f3ee90e8ce6a9d151665eaeda66ded0abbc8ff34f31d6bf4,5041060a02a9bcff2fde2a8b11cdca5532cf1769830d85388286e117cfb3435f,2d562725f408a78ecafcc69decb2fe6c81d9c680f4323dd2fec95d6ede8a6fbc
533,6efeeb73a417f2af78142f2d6b1bbda825e96efb6bf96578ea4ea5253e5225a7,ca77967eb640e11fdd5500d5e2604408e5f007a66cc8b9e82756dadfc44ca319,f5fb00cff7e123ab8d37c4c0a81157084ec97447c8af5c77b29a19277dab8471,b7c72d18cb81056059c85b2f135d0c1c3776381e7077af9453e4b90b7c7ab54d,b02388cad3fe95140786584068929f06aaf285603ba06cca803703cf6f5bc1c4,3a61948a38972b7faa6a6600cbacb02df95d2a1f0028785c4c8234d4253d9115
79,2df0d6468c018b9c94796a467fa6fcf4ed0de3b10afc967769d9574c413f27fe,1894914a8ef49f341758fddd8eef85f65f11d18b7938c6b10dc40b2f9b16d0cb,fcebc8259589c6949849ea4976f6f7d6bc82025487066fd4e0ca3d892e7d6ab6,d06482cf16a6dea6af35c49471f24b86a000eb10233962492174a4020f3546a9,14101deeecb2c77033fdf4774ae1aa290fdbfb6a72c2810862604f461aaa9223,3cad5e32acf7f8d5d1ad5b71c59a07b006c5d32b013979c6e7da3e15acb4a19a
369,b2b50601c6e731cd6bab4fc9cb472d56333c6bb2f627f247aa8605df14c0a6c6,71b1c6a811365f9de9cd59a8843808a701b076345c9e5f69a3ba0e8ed13bfe2d,375f1d34ef0ed6ec5fd1a1b96c3803c9c160511b8a6263b9d30e9b39ccb33f3c,6f04b4981358035368414e353932532735927ff01969df94cda9389ebf926ecf,cd628028dd06309e4bcf1fdc0b897427719a69432df020cc2a602c30d87abbe8,31b1a327343e6c5cc693b36f89841c35ffab2befacfa2c893406e009b968b5bc
249,4c1967310ce134ea0d3b63b85192d6a978254332d0a95e40d3d23eb8712da328,0d8668ec158ee56b55579bcdb0a5e7a4ff80fa4a7b9988f60525d820019e3703,cd20124f7ad72ff5f04d6e600e3220ee9c072fc9d096cb3e246f37a202ea33ad,fcafe180779cc633415f58ede64e2f967b9f0dac9a47c48b185d3064f3ee41ff,9d376226ad0c7586122f9b954bc009b36d1264ef84e701ff3b611071a56bcef0,d48f16103c0e37452012f7af476d69692f9f68395f42973a9da80f0ec77c6e88
445,d8ef7294b55b0aae269d4d682187a6fbb0ff0b20f197dd9b08116cabe0c2ea50,05edc4dc199a224fd6c1ef2ef22e785150f33bb06d508d3a2e4f1c9a49105f54,fbd3836c98d17283765a07cd1d8a7f25a8e330b46b466c0219ceffdf92e0be12,035aba5d18234970556c412baa606d5993d9c82a713291cfd18e0e81f643f9da,543ac95a0af4b8fa257615ac1349e52af2fae663e85e47a5e9fcc4598353ce70,3251379493a7cb23235a656380def3e18400fec9cc9b992f381bdc99fb2df8a0
