seed,parent,t_star,miss,abserr,kink_count,kink_dist,n_kinks_path,theta_on_kink
23,456,0.849549,0,0.008165,7,0.005919,32,0
23,456,0.849549,0,0.175325,8,0.005919,29,0
23,150,0.866984,0,0.363464,6,0.004109,36,0
23,150,0.866984,0,0.146759,6,0.011922,30,0
23,96,0.532439,0,0.090708,1,0.049592,3,0
23,96,0.532439,1,nan,0,nan,3,nan
23,39,0.475543,0,0.260231,4,0.020551,8,0
23,39,0.475543,1,nan,0,nan,7,nan
23,209,0.793553,0,0.028297,4,0.022853,16,0
23,209,0.793553,0,0.083031,9,0.007228,22,0
23,264,0.423705,0,0.083115,1,0.048951,6,0
23,264,0.423705,0,0.042786,0,nan,6,0
23,415,0.884988,1,nan,8,0.025168,34,nan
23,415,0.884988,0,0.053913,10,0.001731,32,1
23,10,0.411525,1,nan,1,0.009181,8,nan
23,10,0.411525,1,nan,1,0.009181,4,nan
23,222,0.860066,1,nan,7,0.01884,25,nan
23,222,0.860066,0,0.083277,4,0.026652,20,0
23,283,0.353023,1,nan,4,0.033696,12,nan
23,283,0.353023,1,nan,3,0.013179,11,nan
23,37,0.540246,1,nan,2,0.033973,10,nan
23,37,0.540246,0,0.268667,2,0.010535,10,0
23,241,0.487926,1,nan,2,0.046519,12,nan
23,241,0.487926,1,nan,1,0.070668,6,nan
23,413,0.70297,0,0.238432,4,0.019376,12,1
23,413,0.70297,0,0.064157,1,0.027188,8,0
23,451,0.900474,0,0.066254,9,0.009683,35,0
23,451,0.900474,0,0.078321,8,0.00187,37,1
23,223,0.879014,1,nan,2,0.093642,18,nan
23,223,0.879014,1,nan,4,0.007705,19,nan
23,91,0.727876,1,nan,7,0.010406,11,nan
23,91,0.727876,1,nan,2,0.033843,11,nan
23,220,0.801011,0,0.156927,2,0.03102,17,0
23,220,0.801011,1,nan,4,0.023208,19,nan
23,450,0.916118,0,0.076157,5,0.033101,29,0
23,450,0.916118,0,0.040737,7,0.021586,31,1
23,67,0.709018,0,0.007853,2,0.044888,15,0
23,67,0.709018,0,0.009377,3,0.029263,9,0
23,127,0.621352,0,0.013939,1,0.062242,7,0
23,127,0.621352,0,0.166193,1,0.023179,11,0
23,45,0.837234,1,nan,4,0.026048,18,nan
23,45,0.837234,1,nan,5,0.057298,19,nan
23,144,0.891877,1,nan,6,0.010467,23,nan
23,144,0.891877,0,0.179796,8,0.002654,21,0
23,36,0.820025,1,nan,10,0.003619,34,nan
23,36,0.820025,0,0.010843,6,0.019818,30,0
23,314,0.92731,1,nan,11,0.006284,49,nan
23,314,0.92731,0,0.116817,6,0.032779,33,0
23,426,0.677577,0,0.17433,1,0.029454,12,0
23,426,0.677577,0,0.135403,3,0.021642,14,0
23,231,0.861926,0,0.163118,5,0.001355,23,1
23,231,0.861926,0,0.302624,5,0.009168,29,0
23,99,0.503465,1,nan,0,nan,6,nan
23,99,0.503465,1,nan,0,nan,6,nan
23,482,0.781255,0,0.123238,3,0.042974,21,0
23,482,0.781255,0,0.228497,5,0.019536,18,0
23,474,0.74602,1,nan,2,0.046802,13,nan
23,474,0.74602,0,0.167334,5,0.007886,16,0
23,373,0.889636,1,nan,6,0.002917,29,nan
23,373,0.889636,1,nan,9,0.004895,30,nan
23,377,0.869941,1,nan,8,0.001153,31,nan
23,377,0.869941,1,nan,8,0.008965,26,nan
23,337,0.76467,0,0.040543,2,0.034202,14,0
23,337,0.76467,0,0.164751,6,0.018577,19,1
23,151,0.846665,1,nan,6,0.016616,20,nan
23,151,0.846665,1,nan,5,0.014634,13,nan
23,475,0.482287,0,0.186804,1,0.095569,6,0
23,475,0.482287,0,0.119768,1,0.017444,5,0
23,250,0.83917,0,0.303274,4,0.007138,21,0
23,250,0.83917,0,0.433289,6,0.016299,25,0
23,187,0.827632,0,0.228163,5,0.003413,15,0
23,187,0.827632,0,0.330996,5,0.011226,19,0
47,454,0.832353,1,nan,6,0.008134,21,nan
47,454,0.832353,1,nan,7,0.039384,24,nan
47,365,0.80104,1,nan,4,0.030992,21,nan
47,365,0.80104,1,nan,5,0.023696,15,nan
47,491,0.42092,1,nan,3,0.028298,7,nan
47,491,0.42092,1,nan,1,0.057639,7,nan
47,249,0.81953,0,0.191851,10,0.010936,28,1
47,249,0.81953,0,0.156027,9,0.004689,34,1
47,330,0.365548,1,nan,2,0.025704,11,nan
47,330,0.365548,1,nan,2,0.010079,7,nan
47,424,0.84298,0,0.313606,2,0.081262,20,0
47,424,0.84298,0,0.421518,4,0.020301,22,0
47,141,0.853353,1,nan,5,0.002116,18,nan
47,141,0.853353,0,0.009933,5,0.009929,27,0
47,347,0.652528,0,0.246634,2,0.007628,14,0
47,347,0.652528,0,0.221388,2,0.031066,19,1
47,460,0.873178,0,0.227041,6,0.002084,26,0
47,460,0.873178,0,0.115898,6,0.036979,26,1
47,133,0.831985,0,0.05382,7,0.007766,25,0
47,133,0.831985,1,nan,4,0.015578,21,nan
47,192,0.276128,0,0.383383,0,nan,4,0
47,192,0.276128,0,0.58453,1,0.006597,4,0
47,125,0.511168,1,nan,3,0.039613,17,nan
47,125,0.511168,1,nan,1,0.038512,12,nan
47,159,0.821525,1,nan,4,0.033944,16,nan
47,159,0.821525,0,0.155945,8,0.010507,18,0
47,167,0.515838,0,0.158772,2,0.004119,7,0
47,167,0.515838,0,0.056721,2,0.004119,7,1
47,95,0.710595,0,0.193895,3,0.019874,9,0
47,95,0.710595,1,nan,5,0.019874,10,nan
47,273,0.721553,1,nan,1,0.069209,9,nan
47,273,0.721553,1,nan,2,0.001103,11,nan
47,240,0.265765,1,nan,2,0.082171,5,nan
47,240,0.265765,1,nan,1,0.035016,6,nan
47,388,0.849727,0,0.050438,5,0.025508,17,0
47,388,0.849727,0,0.209757,6,0.017695,18,0
47,468,0.863397,0,0.08383,2,0.031365,20,0
47,468,0.863397,0,0.13903,9,0.007928,23,0
47,275,0.285687,1,nan,1,0.016156,3,nan
47,275,0.285687,1,nan,2,0.046344,2,nan
47,282,0.87387,1,nan,2,0.002776,18,nan
47,282,0.87387,1,nan,2,0.073089,17,nan
47,464,0.823562,0,0.191315,5,0.02278,19,0
47,464,0.823562,0,0.204437,4,0.007155,19,0
47,103,0.822579,0,0.01087,5,0.017264,20,0
47,103,0.822579,0,0.01862,4,0.013986,24,0
47,315,0.634187,0,0.377821,4,0.018157,11,0
47,315,0.634187,0,0.295059,0,nan,8,0
47,158,0.909535,0,0.050888,12,0.007192,33,0
47,158,0.909535,0,0.17695,6,0.000621,29,0
47,403,0.817426,1,nan,6,0.006793,15,nan
47,403,0.817426,1,nan,7,0.022418,20,nan
47,134,0.505101,1,nan,0,nan,3,nan
47,134,0.505101,1,nan,0,nan,6,nan
47,195,0.837647,0,0.029583,12,0.002196,34,0
47,195,0.837647,0,0.106735,12,0.002196,39,0
47,327,0.800658,1,nan,5,0.023314,18,nan
47,327,0.800658,1,nan,2,0.031127,9,nan
47,178,0.892432,1,nan,13,0.021338,37,nan
47,178,0.892432,1,nan,7,0.013526,35,nan
47,73,0.419103,0,0.481251,1,0.055821,4,1
47,73,0.419103,0,0.475237,2,0.045741,8,0
47,309,0.362252,1,nan,0,nan,9,nan
47,309,0.362252,1,nan,2,0.040092,11,nan
47,336,0.503539,0,0.147861,0,nan,8,0
47,336,0.503539,0,0.022827,1,0.015992,8,0
47,204,0.791688,0,0.14938,2,0.009093,15,0
47,204,0.791688,0,0.046442,6,0.022157,16,1
47,439,0.835086,0,0.112738,8,0.003055,25,0
47,439,0.835086,0,0.00251,7,0.003055,28,0
47,422,0.367248,1,nan,0,nan,5,nan
47,422,0.367248,1,nan,2,0.066466,6,nan
47,44,0.574958,1,nan,2,0.061761,10,nan
47,44,0.574958,1,nan,0,nan,7,nan
47,441,0.884437,0,0.067822,6,0.028968,29,0
47,441,0.884437,0,0.336586,5,0.002282,25,1
47,57,0.790574,0,0.174028,7,0.005418,13,0
47,57,0.790574,0,0.24757,6,0.002395,15,1
47,379,0.770995,1,nan,4,0.040526,20,nan
47,379,0.770995,0,0.113905,6,0.024901,24,0
47,40,0.759728,1,nan,4,0.013635,17,nan
47,40,0.759728,1,nan,4,0.037072,19,nan
47,72,0.857516,0,0.056807,11,0.00986,25,0
47,72,0.857516,1,nan,9,0.00986,24,nan
47,281,0.891871,0,0.110729,2,0.012965,18,0
47,281,0.891871,1,nan,5,0.010472,21,nan
47,284,0.829259,0,0.13839,5,0.012853,20,0
47,284,0.829259,0,0.195147,4,0.002772,20,1
47,459,0.820413,0,0.269775,4,0.011619,27,1
47,459,0.820413,0,0.123468,6,0.019431,22,0
47,262,0.667632,1,nan,4,0.031587,9,nan
47,262,0.667632,1,nan,1,0.008149,13,nan
47,418,0.571324,0,0.043251,0,nan,7,0
47,418,0.571324,0,0.059708,1,0.036168,7,0
47,383,0.794923,0,0.238924,2,0.041017,15,0
47,383,0.794923,0,0.187624,2,0.056642,19,0
47,24,0.291892,1,nan,0,nan,4,nan
47,24,0.291892,1,nan,1,0.006736,4,nan
47,26,0.773213,0,0.602465,2,0.082255,18,0
47,26,0.773213,0,0.565895,4,0.011495,19,0
47,22,0.760018,0,0.199009,2,0.0608,9,0
47,22,0.760018,1,nan,2,0.006112,10,nan
47,435,0.738137,0,0.049543,2,0.031106,12,0
47,435,0.738137,0,0.213797,6,0.015769,13,0
47,186,0.845468,0,0.142733,5,0.033439,19,0
47,186,0.845468,0,0.145191,5,0.017814,20,1
47,323,0.788871,0,0.083265,4,0.066215,16,0
47,323,0.788871,1,nan,7,0.004098,18,nan
47,92,0.847531,0,0.148178,4,0.007937,16,0
47,92,0.847531,0,0.107855,4,0.039187,11,0
47,15,0.503232,0,0.016922,2,0.014951,8,0
47,15,0.503232,0,0.302767,0,nan,6,0
47,70,0.774659,0,0.13043,3,0.002685,13,1
47,70,0.774659,0,0.144579,4,0.005128,11,0
47,359,0.676898,1,nan,3,0.053571,14,nan
47,359,0.676898,1,nan,3,0.001117,13,nan
47,366,0.713847,0,0.080578,4,0.016622,13,0
47,366,0.713847,0,0.166649,6,0.014628,12,0
47,77,0.824351,0,0.150488,7,0.031117,22,0
47,77,0.824351,0,0.20768,4,0.015758,25,0
47,107,0.393392,1,nan,2,0.03011,6,nan
47,107,0.393392,1,nan,2,0.00114,7,nan
47,440,0.811349,0,0.079243,5,0.026193,17,0
47,440,0.811349,0,0.162575,3,0.026193,15,0
