seed,parent,t_star,min_margin_win,margin_slope,cost,max_slope,max_curv,trans_width,slope_asym,min_abs_logit,speed_conc,max_angle,hyper_dist,z_length,miss,abserr
11,383,0.794924,0.001363,0.087255,0.689599,155.582886,724.040894,0.030769,28.44599,0.468705,0.109437,0.060856,1.13159,22.258334,0,0.085014
11,383,0.794924,0.001363,0.087255,0.689599,154.960693,908.226562,0.015385,70.379036,10.767252,0.068543,1.994914,3.855944,25.412887,0,0.231426
11,24,0.291891,0.001138,0.072843,0.199717,18.664886,158.175323,0.292308,5.625933,0.049385,0.231736,0.100409,0.078251,1.650887,0,0.03722
11,24,0.291891,0.001138,0.072843,0.199717,12.656776,3.863037,0.723077,0.478681,0.313028,0.281536,0.002034,0.23448,1.194701,0,0.173031
11,26,0.773214,0.00469,-0.30018,0.623588,62.616577,252.667969,0.030769,8.302698,9.008928,0.034612,1.125048,2.559395,7.970192,0,0.497402
11,26,0.773214,0.00469,-0.300178,0.623588,74.674751,260.893555,0.030769,6.088022,5.391721,0.02221,0.743162,1.485147,7.127226,0,0.544827
11,22,0.760019,0.003727,0.238497,0.5893,77.863831,1062.297852,0.030769,34.193271,0.277047,0.14705,0.128432,1.284721,13.517703,0,0.082241
11,22,0.760019,0.003727,0.238498,0.5893,82.446289,524.467285,0.030769,28.314075,3.610677,0.091755,0.208855,1.759334,13.403239,0,0.171532
11,435,0.738138,0.001507,-0.09648,0.54006,84.494385,261.554688,0.0,5.481744,15.241802,0.170532,0.022471,5.511894,19.049882,1,nan
11,435,0.738138,0.001507,-0.09648,0.54006,88.914307,112.490234,0.0,5.741195,12.216543,0.171868,0.017011,4.730543,19.518404,1,nan
11,186,0.845469,0.000681,-0.043591,0.915152,202.155762,404.494141,0.0,12.18042,5.866569,0.082667,0.042778,2.79182,33.748988,1,nan
11,186,0.845469,0.000681,-0.043592,0.915152,180.533203,527.169922,0.061538,26.407475,0.331938,0.074187,0.10775,0.808073,35.331988,0,0.068718
11,323,0.78887,0.004892,-0.31312,0.669832,122.940567,1051.386963,0.015385,17.194732,0.249127,0.192026,0.033207,0.276655,27.682362,0,0.005032
11,323,0.78887,0.004893,-0.313119,0.669832,166.134766,1033.698242,0.015385,45.69788,8.334818,0.070809,0.107857,3.231392,27.949721,0,0.176601
11,92,0.847532,0.003594,-0.230024,0.927546,236.284912,501.859375,0.030769,21.105095,8.988815,0.049835,0.316591,3.143117,25.666535,0,0.286312
11,92,0.847532,0.003594,-0.230023,0.927546,212.5625,723.675781,0.030769,37.642642,10.791073,0.051071,0.23387,3.883165,26.234343,0,0.265766
11,15,0.503233,0.000933,-0.059731,0.284683,30.790054,0.009888,0.076923,4.1e-05,0.017019,0.178791,5e-06,0.283347,6.906268,0,0.050877
11,15,0.503233,0.000933,-0.05973,0.284683,27.202782,175.122437,0.076923,5.54628,0.006284,0.207872,0.006736,0.204,6.249513,0,0.02776
11,70,0.77466,0.002749,0.175934,0.627587,100.062378,227.722412,0.030769,7.07433,3.857632,0.170619,0.019605,2.517202,23.124282,0,0.143948
11,70,0.77466,0.002749,0.175934,0.627587,101.622192,385.223145,0.030769,26.366236,2.651326,0.180162,0.021825,2.048225,23.579185,0,0.126244
11,359,0.676897,0.001145,-0.073256,0.437698,115.161377,305.859375,0.0,1.706127,49.806152,0.178261,0.020126,15.329216,24.246682,1,nan
11,359,0.676897,0.001145,-0.073256,0.437698,163.165527,254.035156,0.0,2.75092,28.082819,0.171808,0.021398,9.90801,30.623927,1,nan
11,366,0.713846,0.002059,0.131769,0.494216,53.959656,0.004883,0.046154,1.346804,0.973881,0.213022,3e-06,1.479289,12.798169,0,0.118752
11,366,0.713846,0.002059,0.131768,0.494216,50.973129,99.709106,0.046154,1.258933,0.858392,0.211131,0.031203,1.506291,13.423632,0,0.1166
11,77,0.82435,0.001112,0.071169,0.805138,96.482666,278.893311,0.061538,12.074211,0.615905,0.083113,0.010938,0.79533,15.599439,0,0.108677
11,77,0.82435,0.001112,0.071169,0.805138,93.894653,154.129028,0.046154,5.537761,0.111768,0.128488,0.028716,0.636309,16.215947,0,0.061764
11,107,0.393393,0.000526,-0.033678,0.233135,6.724213,76.511719,0.0,3.94377,6.467174,0.283847,0.142442,1.903065,0.989107,1,nan
11,107,0.393393,0.000526,-0.033679,0.233135,5.966553,60.67334,0.0,3.138022,6.376658,0.259864,0.333052,1.821889,0.7564,1,nan
11,440,0.81135,0.001187,0.07596,0.749644,162.728516,725.211426,0.046154,37.703601,0.625463,0.115578,0.068371,1.501982,29.763809,0,0.106689
11,440,0.81135,0.001187,0.075961,0.749644,208.913086,1178.684082,0.030769,38.039313,0.213035,0.062285,0.174329,1.156971,30.952462,0,0.080338
11,502,0.510469,0.000498,0.031899,0.288891,47.911011,85.984375,0.0,1.218342,16.982443,0.185406,0.012833,5.483116,11.009937,1,nan
11,502,0.510469,0.000498,0.031899,0.288891,53.027588,1.896484,0.030769,0.114204,14.191626,0.193709,6e-06,4.821528,11.595213,1,nan
11,411,0.756109,0.001319,-0.084446,0.579856,133.940308,181.394531,0.0,0.531369,25.468979,0.224346,0.005628,10.06506,32.106311,1,nan
11,411,0.756109,0.001319,-0.084446,0.579856,150.771118,565.945312,0.0,32.8115,15.168362,0.226247,0.026939,7.246966,33.364591,1,nan
11,456,0.84955,0.000496,-0.227514,0.939989,280.25293,2215.732422,0.030769,35.317071,0.495666,0.075799,2.447392,1.943204,45.946929,0,0.106014
11,456,0.84955,0.000496,-0.227515,0.939989,341.119141,773.494141,0.015385,25.285267,9.053715,0.01661,2.272538,2.795551,45.67246,0,0.253681
11,150,0.866983,0.000533,-0.124904,1.06319,246.085449,610.787109,0.0,9.002946,9.159609,0.08073,0.061452,3.258695,27.042038,1,nan
11,150,0.866983,0.000533,-0.124904,1.06319,247.464844,233.104004,0.061538,10.997205,3.600281,0.042407,0.025325,1.443402,28.301481,0,0.206474
11,96,0.532438,0.000383,-0.024505,0.302467,15.828476,138.559082,0.030769,2.345388,6.032589,0.205727,0.085743,1.850379,2.232259,1,nan
11,96,0.532438,0.000383,-0.024505,0.302467,20.256418,155.40332,0.015385,4.162996,5.371884,0.118611,0.276539,1.546939,1.742447,1,nan
11,39,0.475542,0.001525,-0.097611,0.269653,15.063385,47.246582,0.0,0.619377,6.756587,0.106868,0.495286,1.839495,1.310271,1,nan
11,39,0.475542,0.001525,-0.097612,0.269653,13.42749,73.485352,0.0,2.458293,7.064816,0.137274,0.801653,1.955146,1.000005,1,nan
11,209,0.793554,0.001441,0.092195,0.685026,157.2229,1303.371338,0.015385,50.332574,0.502456,0.185934,0.03972,0.134723,31.428103,0,0.007919
11,209,0.793554,0.001441,0.092195,0.685026,152.855957,930.141113,0.015385,21.676957,0.187814,0.161036,0.055862,1.100001,30.771706,0,0.048145
11,264,0.423704,0.000389,-0.024883,0.245398,35.452881,404.697266,0.076923,12.603599,1.818428,0.228944,0.046035,1.221525,5.775016,0,0.15786
11,264,0.423704,0.000389,-0.02488,0.245398,39.470139,301.455078,0.061538,10.951884,2.935338,0.21578,0.043003,1.584195,6.615515,0,0.185616
11,415,0.884989,0.000673,0.0431,1.229617,335.183594,2008.242676,0.015385,158.763807,0.697388,0.100854,1.131898,0.714081,74.90328,0,0.026962
11,415,0.884989,0.000673,0.0431,1.229617,290.027344,2004.25,0.0,131.247296,8.368172,0.167571,0.031866,6.089715,71.87719,1,nan
11,10,0.411524,0.000854,-0.054631,0.240319,19.175552,30.386719,0.107692,0.611316,0.022933,0.276339,5e-06,0.407829,3.877349,0,0.084595
11,10,0.411524,0.000854,-0.05463,0.240319,20.435066,99.043945,0.092308,1.836506,0.116888,0.286066,0.04011,0.545015,3.87661,0,0.104744
11,222,0.860067,0.000109,-0.006977,1.010632,225.691895,584.699219,0.0,17.361339,20.758434,0.175487,0.014209,10.379458,54.645448,1,nan
11,222,0.860067,0.000109,-0.006977,1.010632,271.232666,2901.164062,0.0,165.772799,8.445829,0.132907,0.048158,3.920098,56.096768,1,nan
11,283,0.353022,0.000439,0.042005,0.218588,8.161179,115.738281,0.0,1.729903,8.121889,0.23485,0.005466,2.315421,1.660189,1,nan
11,283,0.353022,0.000439,0.042005,0.218588,9.489319,24.550781,0.0,0.515187,7.972244,0.239246,0.009985,2.286211,1.726573,1,nan
11,37,0.540247,0.001,0.063987,0.307603,50.614258,317.609375,0.015385,10.173218,11.498344,0.194788,0.030777,3.7343,10.016173,1,nan
11,37,0.540247,0.001,0.063986,0.307603,40.83252,172.169922,0.0,7.7745,17.082754,0.198796,0.01123,5.108205,8.048793,1,nan
11,241,0.487925,0.000168,-0.010751,0.276174,25.998657,91.558594,0.0,1.642887,45.591263,0.212523,0.015143,12.861186,6.324799,1,nan
11,241,0.487925,0.000168,-0.01075,0.276174,23.299805,275.246094,0.0,3.893643,52.351826,0.220052,0.032113,14.468913,4.313335,1,nan
11,413,0.702971,4e-05,0.002528,0.476116,63.643555,320.022644,0.061538,5.015252,0.107451,0.108978,0.038001,0.597659,11.723055,0,0.090519
11,413,0.702971,4e-05,0.002528,0.476116,42.286987,278.302734,0.0,10.981314,6.791153,0.168243,0.037884,2.419803,8.187754,1,nan
11,451,0.900473,0.006618,0.423534,1.420941,366.98584,1291.669662,0.015385,45.089836,0.236225,0.052113,0.062227,1.853842,61.292254,0,0.090282
11,451,0.900473,0.006618,0.423532,1.420941,374.123047,1166.46228,0.015385,58.53052,2.056532,0.024689,1.688657,1.361694,60.23398,0,0.115753
11,223,0.879015,0.000435,-0.027847,1.168907,218.164551,842.597656,0.0,52.953148,10.287155,0.039442,1.157065,2.991682,36.567198,1,nan
11,223,0.879015,0.000435,-0.027847,1.168907,194.344727,608.217285,0.0,1.130037,7.6899,0.139224,0.02104,4.549458,37.849345,1,nan
11,91,0.727877,0.00117,0.07843,0.519693,109.851318,130.201172,0.030769,3.964015,9.721317,0.181991,0.010293,4.048511,21.743975,1,nan
11,91,0.727877,0.00117,0.07843,0.519693,94.890381,111.574219,0.0,6.243591,13.277744,0.173011,0.012704,4.875684,20.811326,1,nan
11,220,0.801012,0.001317,-0.084288,0.710701,96.623535,370.713379,0.046154,2.830774,0.224404,0.133717,0.036301,0.735565,17.482557,0,0.077068
11,220,0.801012,0.001317,-0.084287,0.710701,105.61792,1160.959473,0.030769,41.497083,2.036737,0.087827,2.353548,1.445342,17.691251,0,0.138313
11,450,0.916117,0.002773,0.177484,1.685952,512.60498,1731.365234,0.015385,15.200943,0.026303,0.091273,0.026165,4.258239,101.529467,1,nan
11,450,0.916117,0.002773,0.177484,1.685952,486.032593,1696.676147,0.015385,72.534151,0.58369,0.098709,0.045081,2.279386,102.722206,0,0.056358
11,67,0.709017,0.002341,-0.1498,0.486013,75.559082,224.678711,0.061538,4.139998,1.320362,0.161785,0.03722,1.292425,13.010485,0,0.123226
11,67,0.709017,0.002341,-0.149801,0.486013,62.376709,125.3125,0.046154,3.656307,4.782912,0.184314,0.00179,2.384841,12.793518,0,0.195072
11,127,0.621351,0.001125,0.071992,0.37349,40.90564,457.183594,0.061538,23.854156,2.492894,0.169993,0.126453,1.394577,6.877623,0,0.157063
11,127,0.621351,0.001125,0.071992,0.37349,45.729797,281.283691,0.046154,9.487313,2.72962,0.079529,0.169053,0.989885,6.496241,0,0.182392
