seed,parent,t_star,t_theta,miss,abserr,angle_cos,width_k1,width_k2,woa
11,264,0.423705,0.265845,0,0.15786,0.598747,0.078125,0.140625,0.130481
11,264,0.423705,0.238088,0,0.185617,0.66855,0.070312,0.125,0.105171
11,415,0.884988,0.91195,0,0.026962,0.605248,0.023438,0.046875,0.038725
11,415,0.884988,nan,1,nan,nan,nan,nan,nan
11,10,0.411525,0.326928,0,0.084597,0.582604,0.109375,0.21875,0.187735
11,10,0.411525,0.306781,0,0.104744,0.620869,0.101562,0.203125,0.16358
11,222,0.860066,nan,1,nan,nan,nan,nan,nan
11,222,0.860066,nan,1,nan,nan,nan,nan,nan
11,283,0.353023,nan,1,nan,nan,nan,nan,nan
11,283,0.353023,nan,1,nan,nan,nan,nan,nan
11,37,0.540246,nan,1,nan,nan,nan,nan,nan
11,37,0.540246,nan,1,nan,nan,nan,nan,nan
11,241,0.487926,nan,1,nan,nan,nan,nan,nan
11,241,0.487926,nan,1,nan,nan,nan,nan,nan
11,413,0.70297,0.612451,0,0.090519,0.46806,0.078125,0.140625,0.166912
11,413,0.70297,nan,1,nan,nan,nan,nan,nan
11,451,0.900474,0.810191,0,0.090282,0.53174,0.023438,0.054688,0.044078
11,451,0.900474,0.78472,0,0.115753,0.619325,0.023438,0.046875,0.037844
11,223,0.879014,nan,1,nan,nan,nan,nan,nan
11,223,0.879014,nan,1,nan,nan,nan,nan,nan
11,91,0.727876,nan,1,nan,nan,nan,nan,nan
11,91,0.727876,nan,1,nan,nan,nan,nan,nan
11,220,0.801011,0.723945,0,0.077066,0.447175,0.054688,0.109375,0.122297
11,220,0.801011,0.6627,0,0.138311,0.414163,0.046875,0.085938,0.11318
11,450,0.916118,nan,1,nan,nan,nan,nan,nan
11,450,0.916118,0.972476,0,0.056358,0.664802,0.023438,0.039062,0.035256
11,67,0.709018,0.832244,0,0.123226,0.565416,0.070312,0.140625,0.124354
11,67,0.709018,0.90409,0,0.195072,0.559381,0.054688,0.101562,0.097765
11,127,0.621352,0.464288,0,0.157064,0.666272,0.0625,0.117188,0.093806
11,127,0.621352,0.438958,0,0.182394,0.704492,0.0625,0.109375,0.088716
11,45,0.837234,nan,1,nan,nan,nan,nan,nan
11,45,0.837234,nan,1,nan,nan,nan,nan,nan
11,144,0.891877,0.973433,0,0.081556,0.511759,nan,nan,nan
11,144,0.891877,nan,1,nan,nan,nan,nan,nan
11,36,0.820025,nan,1,nan,nan,nan,nan,nan
11,36,0.820025,0.635707,0,0.184319,0.514219,0.0625,0.164062,0.121544
11,314,0.92731,nan,1,nan,nan,nan,nan,nan
11,314,0.92731,nan,1,nan,nan,nan,nan,nan
11,426,0.677577,0.977031,0,0.299454,0.47198,nan,nan,nan
11,426,0.677577,0.609277,0,0.0683,0.557561,0.140625,0.25,0.252215
11,231,0.861926,0.769897,0,0.09203,0.611971,0.023438,0.039062,0.038299
11,231,0.861926,0.692985,0,0.168941,0.696289,0.023438,0.046875,0.033661
11,99,0.503465,nan,1,nan,nan,nan,nan,nan
11,99,0.503465,nan,1,nan,nan,nan,nan,nan
11,482,0.781255,0.658412,0,0.122843,0.399738,0.046875,0.085938,0.117264
11,482,0.781255,0.487267,0,0.293987,0.639038,0.023438,0.054688,0.036677
11,474,0.74602,nan,1,nan,nan,nan,nan,nan
11,474,0.74602,nan,1,nan,nan,nan,nan,nan
11,373,0.889636,nan,1,nan,nan,nan,nan,nan
11,373,0.889636,0.976001,0,0.086365,0.380713,0.03125,0.046875,0.082083
11,377,0.869941,nan,1,nan,nan,nan,nan,nan
11,377,0.869941,nan,1,nan,nan,nan,nan,nan
11,337,0.76467,0.828132,0,0.063461,0.516577,0.046875,0.078125,0.090742
11,337,0.76467,0.819364,0,0.054693,0.588864,0.039062,0.070312,0.066335
11,151,0.846665,nan,1,nan,nan,nan,nan,nan
11,151,0.846665,0.952968,0,0.106302,0.57402,0.015625,0.03125,0.02722
11,475,0.482287,nan,1,nan,nan,nan,nan,nan
11,475,0.482287,0.991511,0,0.509224,0.532098,nan,nan,nan
11,250,0.83917,0.569318,0,0.269852,0.485261,0.117188,0.203125,0.241495
11,250,0.83917,0.531293,0,0.307877,0.504202,0.148438,0.320312,0.294402
11,187,0.827632,0.612876,0,0.214756,0.435415,0.085938,0.15625,0.19737
11,187,0.827632,0.54342,0,0.284212,0.534036,0.054688,0.09375,0.102405
23,454,0.832353,0.712104,0,0.120249,0.570943,0.039062,0.078125,0.068417
23,454,0.832353,0.816054,0,0.016298,0.372632,0.085938,nan,0.230624
23,365,0.80104,nan,1,nan,nan,nan,nan,nan
23,365,0.80104,0.950044,0,0.149004,0.466638,0.0625,nan,0.133937
23,491,0.42092,nan,1,nan,nan,nan,nan,nan
23,491,0.42092,nan,1,nan,nan,nan,nan,nan
23,249,0.81953,0.72158,0,0.09795,0.675067,0.125,0.210938,0.185167
23,249,0.81953,0.808642,0,0.010887,0.767527,0.09375,0.25,0.122146
23,330,0.365548,nan,1,nan,nan,nan,nan,nan
23,330,0.365548,nan,1,nan,nan,nan,nan,nan
23,424,0.84298,0.546451,0,0.29653,0.681989,0.0625,0.140625,0.091644
23,424,0.84298,0.744237,0,0.098743,0.605418,0.117188,0.21875,0.193565
23,141,0.853353,0.88585,0,0.032497,0.428265,nan,nan,nan
23,141,0.853353,0.837237,0,0.016115,0.679658,0.101562,nan,0.149431
23,347,0.652528,0.610063,0,0.042465,0.443499,0.195312,0.382812,0.440389
