model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpB_h32f16,vdiag,0.05,Q_coherent,flipped,0.8,5,5.0
mlpB_h32f16,vdiag,0.05,Q_source_greedy,preserving,0.1420996818663839,1424,471.5
mlpB_h32f16,vdiag,0.05,Q_source_greedy,flipped,0.8,5,2.5
mlpB_h32f16,vdiag,0.05,Q_source_dro,preserving,0.14397272816338308,1424,474.6873164316453
mlpB_h32f16,vdiag,0.05,Q_source_dro,flipped,0.8,5,1.6612325179880778
mlpB_h32f16,vdiag,0.05,Q_whitebox,all_valid_arms,0.18110236220472442,1016,508.0
mlpC_h128f32,vdiag,0.05,Q_ref,preserving,0.16081460674157302,1424,474.6666666666667
mlpC_h128f32,vdiag,0.05,Q_ref,flipped,0.8,5,1.6666666666666665
mlpC_h128f32,vdiag,0.05,Q_coherent,preserving,0.15845824411134904,1424,467.0
mlpC_h128f32,vdiag,0.05,Q_coherent,flipped,0.8,5,5.0
mlpC_h128f32,vdiag,0.05,Q_source_greedy,preserving,0.15906680805938495,1424,471.5
mlpC_h128f32,vdiag,0.05,Q_source_greedy,flipped,0.8,5,2.5
mlpC_h128f32,vdiag,0.05,Q_source_dro,preserving,0.16082516996387808,1424,474.6814721250991
mlpC_h128f32,vdiag,0.05,Q_source_dro,flipped,0.7999999999999999,5,1.6644781737698984
mlpC_h128f32,vdiag,0.05,Q_whitebox,all_valid_arms,0.20275590551181102,1016,508.0
mlpA_h64f32,vdiag,0.1,Q_ref,preserving,0.14103525881470366,1333,444.33333333333337
mlpA_h64f32,vdiag,0.1,Q_ref,flipped,0.42857142857142866,35,11.666666666666664
mlpA_h64f32,vdiag,0.1,Q_coherent,preserving,0.14385150812064965,1333,431.0
mlpA_h64f32,vdiag,0.1,Q_coherent,flipped,0.391304347826087,35,23.0
mlpA_h64f32,vdiag,0.1,Q_source_greedy,preserving,0.14463276836158193,1333,442.5
mlpA_h64f32,vdiag,0.1,Q_source_greedy,flipped,0.4642857142857143,35,14.0
mlpA_h64f32,vdiag,0.1,Q_source_dro,preserving,0.14102525717468234,1333,444.36172512862674
mlpA_h64f32,vdiag,0.1,Q_source_dro,flipped,0.4286589475728289,35,11.641522229456404
mlpA_h64f32,vdiag,0.1,Q_whitebox,all_valid_arms,0.20275590551181102,1016,508.0
mlpB_h32f16,vdiag,0.1,Q_ref,preserving,0.13353338334583645,1333,444.33333333333337
mlpB_h32f16,vdiag,0.1,Q_ref,flipped,0.48571428571428577,35,11.666666666666664
mlpB_h32f16,vdiag,0.1,Q_coherent,preserving,0.13225058004640372,1333,431.0
mlpB_h32f16,vdiag,0.1,Q_coherent,flipped,0.4782608695652174,35,23.0
mlpB_h32f16,vdiag,0.1,Q_source_greedy,preserving,0.12994350282485875,1333,442.5
mlpB_h32f16,vdiag,0.1,Q_source_greedy,flipped,0.5357142857142857,35,14.0
mlpB_h32f16,vdiag,0.1,Q_source_dro,preserving,0.13353966375653306,1333,444.35306284770746
mlpB_h32f16,vdiag,0.1,Q_source_dro,flipped,0.48565505110845675,35,11.648885823926156
