contrast,family,quantity,stratum,seed,n_rows,n_parents,value_row,value_parent,ci_lo,ci_hi,boot,terms
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,P_state0,other_edit,cross_seed_mean,173,84,0.017341,0.015873,0.003968,0.031746,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,other_edit,803,173,84,0.121387,0.121032,0.043651,0.201389,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,other_edit,805,173,84,0.17341,0.173611,0.089286,0.259921,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,other_edit,806,173,84,0.17341,0.166667,0.076364,0.261905,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,A_state1,other_edit,cross_seed_mean,173,84,0.156069,0.15377,0.08168,0.228183,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,other_edit,803,173,84,0.150289,0.157738,0.089286,0.233135,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,other_edit,805,173,84,0.16763,0.150794,0.085317,0.226215,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,other_edit,806,173,84,0.17341,0.154762,0.082341,0.232168,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,B_state2,other_edit,cross_seed_mean,173,84,0.163776,0.154431,0.097884,0.216601,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,other_edit,803,173,84,0.16763,0.190476,0.118056,0.269841,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,other_edit,805,173,84,0.104046,0.100198,0.02381,0.176587,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,other_edit,806,173,84,0.046243,0.085317,-0.014881,0.188492,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,AB_state3,other_edit,cross_seed_mean,173,84,0.105973,0.125331,0.063153,0.190815,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,other_edit,803,173,84,0.222441,,0.128499,0.321113,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,other_edit,805,173,84,0.153621,,0.057008,0.252778,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
