contrast,seed,stratum,n_rows,baseline110_n,full_repair_n,migration_n,baseline111_n,regression111_n
D_standard_random_flip minus C_standard_random_flip,805,small_edit,5,0,0,0,5,0
D_standard_random_flip minus C_standard_random_flip,806,small_edit,5,0,0,0,5,1
D_standard_random_flip minus C_standard_random_flip,803,other_edit,173,7,1,0,160,59
D_standard_random_flip minus C_standard_random_flip,805,other_edit,173,7,0,0,162,18
D_standard_random_flip minus C_standard_random_flip,806,other_edit,173,9,1,5,163,64
A_standard_random_flip minus A_standard_random_static,803,all,178,70,41,8,116,13
A_standard_random_flip minus A_standard_random_static,805,all,178,83,47,15,108,17
A_standard_random_flip minus A_standard_random_static,806,all,178,91,48,23,117,27
A_standard_random_flip minus A_standard_random_static,803,small_edit,5,4,4,0,5,0
A_standard_random_flip minus A_standard_random_static,805,small_edit,5,3,2,0,4,0
A_standard_random_flip minus A_standard_random_static,806,small_edit,5,5,3,0,5,0
A_standard_random_flip minus A_standard_random_static,803,other_edit,173,66,37,8,111,13
A_standard_random_flip minus A_standard_random_static,805,other_edit,173,80,45,15,104,17
A_standard_random_flip minus A_standard_random_static,806,other_edit,173,86,45,23,112,27
B_standard_random_flip minus B_standard_random_static,803,all,178,24,13,2,133,3
B_standard_random_flip minus B_standard_random_static,805,all,178,28,22,3,128,4
B_standard_random_flip minus B_standard_random_static,806,all,178,38,30,0,137,0
B_standard_random_flip minus B_standard_random_static,803,small_edit,5,1,1,0,5,0
B_standard_random_flip minus B_standard_random_static,805,small_edit,5,0,0,0,5,0
B_standard_random_flip minus B_standard_random_static,806,small_edit,5,1,1,0,5,0
B_standard_random_flip minus B_standard_random_static,803,other_edit,173,23,12,2,128,3
B_standard_random_flip minus B_standard_random_static,805,other_edit,173,28,22,3,123,4
B_standard_random_flip minus B_standard_random_static,806,other_edit,173,37,29,0,132,0
B_standard_random_static minus A_standard_random_static,803,all,178,70,44,8,116,14
B_standard_random_static minus A_standard_random_static,805,all,178,83,50,15,108,19
B_standard_random_static minus A_standard_random_static,806,all,178,91,51,17,117,23
B_standard_random_static minus A_standard_random_static,803,small_edit,5,4,3,0,5,0
B_standard_random_static minus A_standard_random_static,805,small_edit,5,3,3,0,4,0
B_standard_random_static minus A_standard_random_static,806,small_edit,5,5,4,0,5,0
B_standard_random_static minus A_standard_random_static,803,other_edit,173,66,41,8,111,14
B_standard_random_static minus A_standard_random_static,805,other_edit,173,80,47,15,104,19
B_standard_random_static minus A_standard_random_static,806,other_edit,173,86,47,17,112,23
C_standard_random_flip minus D_standard_random_flip,803,all,178,31,26,0,106,1
C_standard_random_flip minus D_standard_random_flip,805,all,178,68,60,2,152,3
C_standard_random_flip minus D_standard_random_flip,806,all,178,20,18,0,104,1
C_standard_random_flip minus D_standard_random_flip,803,small_edit,5,0,0,0,4,0
C_standard_random_flip minus D_standard_random_flip,805,small_edit,5,5,5,0,5,0
C_standard_random_flip minus D_standard_random_flip,806,small_edit,5,0,0,0,4,0
C_standard_random_flip minus D_standard_random_flip,803,other_edit,173,31,26,0,102,1
C_standard_random_flip minus D_standard_random_flip,805,other_edit,173,63,55,2,147,3
C_standard_random_flip minus D_standard_random_flip,806,other_edit,173,20,18,0,100,1
